{'type': 'P', 'id': 0, 'imgL_path': 'E:\\dataset\\dataset\\imgP\\c0_14L.jpeg', 'imgS_path': 'E:\\dataset\\dataset\\imgP\\c0_11S.jpeg', 'box': [786, 552, 861, 641], 'conf': 0.9, 'mae': 0.021, 'time': 72.0}
{'type': 'P', 'id': 1, 'imgL_path': 'E:\\dataset\\dataset\\imgP\\c100_14L.jpeg', 'imgS_path': 'E:\\dataset\\dataset\\imgP\\c100_11S.jpeg', 'box': [793, 479, 828, 519], 'conf': 0.9, 'mae': 0.021, 'time': 173.0}
{'type': 'P', 'id': 2, 'imgL_path': 'E:\\dataset\\dataset\\imgP\\c101_14L.jpeg', 'imgS_path': 'E:\\dataset\\dataset\\imgP\\c101_11S.jpeg', 'box': [1227, 449, 1319, 568], 'conf': 0.87, 'mae': 0.028, 'time': 58.0}
{'type': 'P', 'id': 3, 'imgL_path': 'E:\\dataset\\dataset\\imgP\\c102_14L.jpeg', 'imgS_path': 'E:\\dataset\\dataset\\imgP\\c102_11S.jpeg', 'box': [491, 49, 528, 95], 'conf': 0.94, 'mae': 0.013, 'time': 173.0}
{'type': 'P', 'id': 4, 'imgL_path': 'E:\\dataset\\dataset\\imgP\\c103_14L.jpeg', 'imgS_path': 'E:\\dataset\\dataset\\imgP\\c103_11S.jpeg', 'box': [78, 16, 113, 60], 'conf': 0.94, 'mae': 0.013, 'time': 190.0}
{'type': 'P', 'id': 5, 'imgL_path': 'E:\\dataset\\dataset\\imgP\\c104_14L.jpeg', 'imgS_path': 'E:\\dataset\\dataset\\imgP\\c104_11S.jpeg', 'box': [494, 177, 509, 197], 'conf': 0.91, 'mae': 0.02, 'time': 169.0}
{'type': 'P', 'id': 6, 'imgL_path': 'E:\\dataset\\dataset\\imgP\\c105_14L.jpeg', 'imgS_path': 'E:\\dataset\\dataset\\imgP\\c105_11S.jpeg', 'box': [575, 182, 640, 259], 'conf': 0.9, 'mae': 0.02, 'time': 81.0}
{'type': 'P', 'id': 7, 'imgL_path': 'E:\\dataset\\dataset\\imgP\\c106_14L.jpeg', 'imgS_path': 'E:\\dataset\\dataset\\imgP\\c106_11S.jpeg', 'box': [688, 195, 757, 286], 'conf': 0.95, 'mae': 0.01, 'time': 79.0}
{'type': 'P', 'id': 8, 'imgL_path': 'E:\\dataset\\dataset\\imgP\\c107_14L.jpeg', 'imgS_path': 'E:\\dataset\\dataset\\imgP\\c107_11S.jpeg', 'box': [1729, 327, 1806, 423], 'conf': 0.93, 'mae': 0.015, 'time': 71.0}
{'type': 'P', 'id': 9, 'imgL_path': 'E:\\dataset\\dataset\\imgP\\c108_14L.jpeg', 'imgS_path': 'E:\\dataset\\dataset\\imgP\\c108_11S.jpeg', 'box': [985, 313, 1008, 361], 'conf': 0.9, 'mae': 0.021, 'time': 208.0}
{'type': 'P', 'id': 10, 'imgL_path': 'E:\\dataset\\dataset\\imgP\\c109_14L.jpeg', 'imgS_path': 'E:\\dataset\\dataset\\imgP\\c109_11S.jpeg', 'box': [990, 654, 1060, 734], 'conf': 0.89, 'mae': 0.023, 'time': 83.0}
